ce1,ce2,ce3,ce4,ce5,ce6,iv3,iv6,ce_index1,ce_index2,ce_index3,ce_index4,ce_index5,ce_index6,iv_index3,iv_index6,ce_w1,ce_w2,ce_w3,ce_w4,ce_w5,ce_w6,iv_w3,iv_w6,order_treatment,order,chose_given_color2,chose_given_color5,chose_info3,chose_info6,date,feedback,PC_label,risk_premium,amb_premium,delta24,delta12,delta14,delta45,delta15,pdelta24,pdelta12,pdelta14,PR,PA,VR,VA,diffellsberg,diffPR,diffPA,diffVR,diffVA,amb_attitude,ones,constant
12.125,12.125,12.125,12.125,12.125,10.875,-2.25,-4.0,26,26,26,26,26,21,3,1,0,0,0,0,0,0,0,0,0,A,1.0,1.0,1,1,02-19,"That information was useful because if it was true, then it was the correct answer and if it was false it was not. I think that if there had been more than two options then the information may have not been useful. It did affect my answer.",11,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25,-4.0,0,0,0,-16,-18,neutral,1,All
16.0,16.0,13.75,11.875,11.875,11.875,2.25,2.75,33,33,31,25,25,25,34,35,0,0,0,0,0,0,0,0,1,B,1.0,0.0,0,0,02-16,There was not enough information to really tell if the color was a truth or a lie so I usually just trusted the draw instead of overthinking it.,23,6.0,4.125,4.125,0.0,4.125,0.0,4.125,0.2578125,0.0,0.2578125,0.0,0.0,2.25,2.75,-8,0,0,15,16,averse,1,All
8.875,8.875,8.125,5.5,5.5,5.5,0.05,0.05,13,13,10,3,3,3,19,19,0,0,0,0,0,0,0,0,0,A,0.0,0.0,1,0,02-12,"Did not affect my answer, felt like more of a hindrance/noise in decision-making process",4,-1.125,3.375,3.375,0.0,3.375,0.0,3.375,0.38028169014084506,0.0,0.38028169014084506,0.0,0.0,0.05,0.05,-10,0,0,0,0,averse,1,All
18.5,18.5,18.5,18.5,18.5,18.5,-0.55,-0.05,34,34,34,34,34,34,13,18,0,0,0,0,0,0,0,0,0,A,0.0,0.0,0,0,02-14,Information was not useful,4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,-0.05,0,0,0,-6,-1,neutral,1,All
16.0,18.5,18.5,18.5,18.5,18.5,0.05,-0.05,33,34,34,34,34,34,19,18,0,0,0,0,0,0,0,0,0,A,0.0,1.0,0,0,02-14,No effect,3,6.0,-2.5,0.0,-2.5,-2.5,0.0,-2.5,0.0,-0.15625,-0.15625,2.5,0.0,0.05,-0.05,1,1,0,0,-1,neutral,1,All
9.875,9.875,7.875,11.875,11.875,7.875,0.95,0.05,17,17,9,25,25,9,28,19,0,0,0,0,0,0,0,0,1,B,0.0,1.0,0,1,02-12,"I never received this information, it was always unknown",2,-0.125,-2.0,-2.0,0.0,-2.0,0.0,-2.0,-0.20253164556962025,0.0,-0.20253164556962025,0.0,0.0,0.95,0.05,8,0,0,9,0,seeking,1,All
14.5,14.5,13.25,11.125,12.625,13.25,-0.35,-0.55,32,32,30,22,28,30,15,13,0,0,0,0,0,0,0,0,1,B,1.0,0.0,1,1,02-16,"no, not really",1,4.5,3.375,3.375,0.0,3.375,-1.5,1.875,0.23275862068965517,0.0,0.23275862068965517,0.0,1.5,-0.35,-0.55,-10,0,6,-4,-6,averse,1,All
9.875,9.875,9.875,9.875,9.875,9.875,-0.05,-0.05,17,17,17,17,17,17,18,18,0,0,0,0,0,0,0,0,0,A,0.0,1.0,0,0,02-19,"Since from my perspective the probability of a lie or a truth was the same, this information was meaningless. It did not impact my decision at all.",5,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,0,0,0,-1,-1,neutral,1,All
10.125,10.125,8.625,8.625,8.625,10.125,-0.55,-0.45,18,18,12,12,12,18,13,14,0,0,0,0,0,0,0,0,0,A,0.0,0.0,1,1,02-16,"I don't think it was useful, because it could have been a lie or a truth. I think it didn't influence my answers that much.",14,0.125,1.5,1.5,0.0,1.5,0.0,1.5,0.14814814814814814,0.0,0.14814814814814814,0.0,0.0,-0.55,-0.45,-6,0,0,-6,-5,averse,1,All
9.875,9.875,9.875,9.125,9.125,10.125,-1.1,-1.1,17,17,17,14,14,18,8,8,0,0,0,0,0,0,0,0,1,B,1.0,0.0,1,1,02-12,"Knowing that the information was either true or a lie, it had no bearing on my decision to bet or not.",9,-0.125,0.75,0.75,0.0,0.75,0.0,0.75,0.0759493670886076,0.0,0.0759493670886076,0.0,0.0,-1.1,-1.1,-3,0,0,-11,-11,averse,1,All
9.875,9.125,9.875,8.625,11.125,8.625,-1.1,-1.1,17,14,17,12,22,12,8,8,0,0,0,0,0,0,0,0,0,A,1.0,1.0,1,0,02-19,No it wasn't useful because I didn't know if it was true or false.,1,-0.125,1.25,0.5,0.75,1.25,-2.5,-1.25,0.0547945205479452,0.0759493670886076,0.12658227848101267,-0.75,2.5,-1.1,-1.1,-5,-3,10,-11,-11,averse,1,All
10.125,10.125,10.125,8.125,8.125,8.125,0.05,0.05,18,18,18,10,10,10,19,19,0,0,0,0,0,0,0,0,1,B,0.0,0.0,1,0,02-14,It was completely useless because I had no information about the distribution of chips. It didn't affect my answer at all.,10,0.125,2.0,2.0,0.0,2.0,0.0,2.0,0.19753086419753085,0.0,0.19753086419753085,0.0,0.0,0.05,0.05,-8,0,0,0,0,averse,1,All
9.875,9.875,9.875,10.125,10.125,9.875,-0.05,-0.05,17,17,17,18,18,17,18,18,0,0,0,0,0,0,0,0,1,B,1.0,1.0,0,1,02-16,"I found that this information was not helpful as I did not know the composition of colored chips in the bag, so I would never get a good sense of whether the information provided to me by the computer was a truth or a lie. It did not affect my answer in the end and I assumed a fifty percent chance of either it being a truth or lie since I had no credible information to go off of.",9,-0.125,-0.25,-0.25,0.0,-0.25,0.0,-0.25,-0.02531645569620253,0.0,-0.02531645569620253,0.0,0.0,-0.05,-0.05,1,0,0,-1,-1,neutral,1,All
9.625,10.375,11.375,11.625,11.625,12.125,0.05,0.95,16,19,23,24,24,26,19,28,0,0,0,0,0,0,0,0,1,B,0.0,1.0,0,0,02-12,Not useful at all,11,-0.375,-2.0,-1.25,-0.75,-2.0,0.0,-2.0,-0.12048192771084337,-0.07792207792207792,-0.2077922077922078,0.75,0.0,0.05,0.95,8,3,0,0,9,seeking,1,All
10.125,10.125,8.125,8.875,7.625,7.375,-0.95,-1.1,18,18,10,13,8,7,9,8,0,0,0,0,0,0,0,0,0,A,1.0,1.0,1,0,02-19,I tended to ignore this information and proceed as I would have if I had no information,15,0.125,1.25,1.25,0.0,1.25,1.25,2.5,0.12345679012345678,0.0,0.12345679012345678,0.0,-1.25,-0.95,-1.1,-5,0,-5,-10,-11,averse,1,All
9.875,16.0,9.875,9.875,14.5,16.0,-0.05,-0.05,17,33,17,17,32,33,18,18,0,0,0,0,0,0,0,0,1,B,1.0,1.0,0,1,02-16,I assumed that unknown probabilities were 50%,19,-0.125,0.0,6.125,-6.125,0.0,-4.625,-4.625,0.3828125,-0.620253164556962,0.0,6.125,4.625,-0.05,-0.05,0,16,15,-1,-1,neutral,1,All
9.875,9.875,9.875,8.875,11.125,12.125,1.9,-0.05,17,17,17,13,22,26,33,18,0,0,0,0,0,0,0,0,1,B,1.0,0.0,0,1,02-16,"The information was useful to tell me where the likelihood of balls drawn was, which affected me by betting on the color that was most likely to be drawn.",2,-0.125,1.0,1.0,0.0,1.0,-2.25,-1.25,0.10126582278481013,0.0,0.10126582278481013,0.0,2.25,1.9,-0.05,-4,0,9,14,-1,averse,1,All
10.125,10.125,10.125,10.125,7.875,10.125,-2.25,-2.25,18,18,18,18,9,18,3,3,0,0,0,0,0,0,0,0,1,B,1.0,1.0,0,1,02-14,Didn't feel like any information I received was helpful.,5,0.125,0.0,0.0,0.0,0.0,2.25,2.25,0.0,0.0,0.0,0.0,-2.25,-2.25,-2.25,0,0,-9,-16,-16,neutral,1,All
9.875,10.125,10.125,8.125,8.125,8.125,-0.05,0.05,17,18,18,10,10,10,18,19,0,0,0,0,0,0,0,0,1,B,1.0,0.0,1,0,02-14,"It didn't affect my answer. It wasn't useful to me because I don't know if the computer was lying or not. It seemed like the composition was still 50-50 so I made choices based on that information, and didn't use the chip information at all.",17,-0.125,1.75,2.0,-0.25,1.75,0.0,1.75,0.19753086419753085,-0.02531645569620253,0.17721518987341772,0.25,0.0,-0.05,0.05,-7,1,0,-1,0,averse,1,All
9.875,9.875,9.875,9.875,10.375,9.875,-5.0,-5.0,17,17,17,17,19,17,0,0,0,0,0,0,0,0,1,1,1,B,1.0,1.0,1,1,02-12,i think i was confused,23,-0.125,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.5,-5.0,-5.0,0,0,2,-19,-19,neutral,1,All
9.875,9.875,9.875,9.875,9.875,9.875,-1.1,-0.05,17,17,17,17,17,17,8,18,0,0,0,0,0,0,0,0,1,B,1.0,1.0,1,0,02-16,The information was not useful and did not influence my answer,6,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-0.05,0,0,0,-11,-1,neutral,1,All
10.125,10.125,11.375,10.875,9.875,10.375,0.05,0.05,18,18,23,21,17,19,19,19,0,0,0,0,0,0,0,0,1,B,0.0,1.0,1,0,02-16,"I didn't find the information useful. If anything, it was a distraction. I thought about it a little, but it really didn't affect my decision. I cared more about the distribution of the colors of balls in the jar. i couldn't trust the truth lie info",15,0.125,-0.75,-0.75,0.0,-0.75,1.0,0.25,-0.07407407407407407,0.0,-0.07407407407407407,0.0,-1.0,0.05,0.05,3,0,-4,0,0,seeking,1,All
10.125,8.125,7.875,9.875,7.875,7.875,-2.25,-2.25,18,10,9,17,9,9,3,3,0,0,0,0,0,0,0,0,0,A,1.0,1.0,1,1,02-12,It did not affect my answer.,24,0.125,0.25,-1.75,2.0,0.25,2.0,2.25,-0.2153846153846154,0.19753086419753085,0.024691358024691357,-2.0,-2.0,-2.25,-2.25,-1,-8,-8,-16,-16,neutral,1,All
8.875,9.875,9.875,8.875,11.875,9.875,-1.1,-1.1,13,17,17,13,25,17,8,8,0,0,0,0,0,0,0,0,0,A,1.0,1.0,1,1,02-19,It affected my answer a little bit (like I would decide if the computer was telling me the truth or lying) and then I would use that decision to either raise (telling the truth) or lower (telling a lie) but that's about it,3,-1.125,0.0,1.0,-1.0,0.0,-3.0,-3.0,0.10126582278481013,-0.11267605633802817,0.0,1.0,3.0,-1.1,-1.1,0,4,12,-11,-11,neutral,1,All
10.125,16.0,9.875,10.125,9.875,9.875,-0.05,-0.05,18,33,17,18,17,17,18,18,0,0,0,0,0,0,0,0,0,A,1.0,0.0,1,1,02-19,It did not affect my answer as I knew that I could not trust the computer,13,0.125,0.0,5.875,-5.875,0.0,0.25,0.25,0.3671875,-0.5802469135802469,0.0,5.875,-0.25,-0.05,-0.05,0,15,-1,-1,-1,neutral,1,All
6.75,9.125,6.75,6.75,6.75,6.75,-0.05,-0.05,5,14,5,5,5,5,18,18,0,0,0,0,0,0,0,0,0,A,1.0,1.0,0,1,02-19,"No, because we don't know the composition of this bag, so as far as I'm concerned it doesn't matter. I have no idea whether it is truth or a lie. I just ignored it when I was betting.",4,-3.25,0.0,2.375,-2.375,0.0,0.0,0.0,0.2602739726027397,-0.35185185185185186,0.0,2.375,0.0,-0.05,-0.05,0,9,0,-1,-1,neutral,1,All
9.875,10.125,10.125,9.875,9.875,9.875,-0.05,0.05,17,18,18,17,17,17,18,19,0,0,0,0,0,0,0,0,0,A,0.0,0.0,1,1,02-12,"It did not really affect my answer, I went with the safest bets because the additional payoff was so heavily determined by random luck at the end from so many rows.",1,-0.125,0.0,0.25,-0.25,0.0,0.0,0.0,0.024691358024691357,-0.02531645569620253,0.0,0.25,0.0,-0.05,0.05,0,1,0,-1,0,neutral,1,All
9.875,9.875,9.875,9.875,9.875,9.875,-0.05,-0.05,17,17,17,17,17,17,18,18,0,0,0,0,0,0,0,0,0,A,1.0,1.0,0,0,02-14,The information was not useful and did not affect my answer.,20,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,0,0,0,-1,-1,neutral,1,All
18.5,18.5,18.5,18.5,18.5,11.875,-0.05,-0.05,34,34,34,34,34,25,18,18,0,0,0,0,0,0,0,0,1,B,1.0,1.0,0,0,02-14,not helpful bc you still have to guess what color the ball is,22,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,0,0,0,-1,-1,neutral,1,All
18.5,14.5,14.5,9.875,9.875,12.125,0.05,-0.05,34,32,32,17,17,26,19,18,0,0,0,0,0,0,0,0,0,A,1.0,1.0,1,1,02-14,I thought it was not useful. Toward the end I began to think that it might benefit me to assume it was true since I had no other info but overall not useful.,15,8.5,8.625,4.625,4.0,8.625,0.0,8.625,0.31896551724137934,0.21621621621621623,0.46621621621621623,-4.0,0.0,0.05,-0.05,-17,-2,0,0,-1,averse,1,All
5.5,5.5,5.5,4.0,4.0,4.0,-0.05,-0.05,3,3,3,2,2,2,18,18,0,0,0,0,0,0,0,0,0,A,1.0,1.0,1,1,02-14,Information is completely useless. It didn't affect my choice.,16,-4.5,1.5,1.5,0.0,1.5,0.0,1.5,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,-0.05,-0.05,-1,0,0,-1,-1,neutral,1,All
1.5,1.5,1.5,1.5,9.875,1.5,-1.1,-1.1,1,1,1,1,17,1,8,8,0,0,0,0,0,0,0,0,1,B,1.0,1.0,1,1,02-12,it was not useful and did not affect my answer,16,-8.5,0.0,0.0,0.0,0.0,-8.375,-8.375,0.0,0.0,0.0,0.0,8.375,-1.1,-1.1,0,0,16,-11,-11,neutral,1,All
5.5,5.5,1.5,1.5,1.5,1.5,-0.05,-0.05,3,3,1,1,1,1,18,18,0,0,0,0,0,0,0,0,1,B,1.0,1.0,1,0,02-14,"Since the bag of chips was always of unknown composition, I really had no idea of whether the information was the truth or a lie. I did not really use the ball draw information because I didn't know if it was true and even if it was true the bag of balls always had an unknown or 50-50 composition. I did not feel confident at all in betting on the balls drawn from the bag given so little information and reason to feel like I could bet on a certain color to be chosen. This affected my answers, as I did not value receiving more information and I preferred to get the certain money rather than make the bet.",8,-4.5,4.0,4.0,0.0,4.0,0.0,4.0,0.7272727272727273,0.0,0.7272727272727273,0.0,0.0,-0.05,-0.05,-2,0,0,-1,-1,averse,1,All
8.875,8.875,8.875,8.875,8.875,7.875,-1.1,-0.05,13,13,13,13,13,9,8,18,0,0,0,0,0,0,0,0,0,A,0.0,0.0,1,1,02-16,"It wasn't useful! Because I don't know about the underlying distribution, my best guess is that the true percentage of red chips (for example) is distributed ~u[0,1]. This isn't super helpful because that means that in expectation, any revealed information about the draw has only a 50/50 chance of being right. I made a mistake in one of the questions because I said I'd give up $.5 for information. I thought this would mean I would get to see the true underlying distribution. Fortunately that question wasn't chosen for my payoffs",12,-1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-0.05,0,0,0,-11,-1,neutral,1,All
18.5,18.5,18.5,9.875,18.5,18.5,-1.1,-0.05,34,34,34,17,34,34,8,18,0,0,0,0,0,0,0,0,1,B,1.0,1.0,1,0,02-16,It was not useful. It did not affect my answer. I was also a bit confused on what the questions were offering during the experiment. I understand now though..,3,8.5,8.625,8.625,0.0,8.625,-8.625,0.0,0.46621621621621623,0.0,0.46621621621621623,0.0,8.625,-1.1,-0.05,-17,0,17,-11,-1,averse,1,All
9.875,9.875,9.875,9.875,7.375,7.375,-1.1,-0.55,17,17,17,17,7,7,8,13,0,0,0,0,0,0,0,0,1,B,1.0,0.0,0,1,02-16,"the information provided did not really ever help how much I knew about the actual choice, so i tried to be consistent",22,-0.125,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,-2.5,-1.1,-0.55,0,0,-10,-11,-6,neutral,1,All
9.875,9.875,9.875,9.875,8.875,8.375,-0.55,-1.1,17,17,17,17,13,11,13,8,0,0,0,0,0,0,0,0,1,B,1.0,1.0,0,1,02-12,Not really,6,-0.125,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.55,-1.1,0,0,-4,-6,-11,neutral,1,All
11.875,9.875,10.125,20.0,20.0,20.0,-0.05,0.05,25,17,18,35,35,35,18,19,0,0,0,1,1,1,0,0,1,B,1.0,0.0,1,0,02-16,It did not affect my answer and I completely ignored it because it was useless.,20,1.875,-8.125,-10.125,2.0,-8.125,0.0,-8.125,-1.0253164556962024,0.16842105263157894,-0.6842105263157895,-2.0,0.0,-0.05,0.05,10,-8,0,-1,0,seeking,1,All
16.0,14.5,14.5,10.125,7.125,6.75,-2.25,-2.25,33,32,32,18,6,5,3,3,0,0,0,0,0,0,0,0,0,A,1.0,0.0,1,1,02-16,Although I chose to reduce my winnings to gain information. Looking back it didn't actually effect my answer because the number of each color of balls and chips were unknown.,25,6.0,5.875,4.375,1.5,5.875,3.0,8.875,0.3017241379310345,0.09375,0.3671875,-1.5,-3.0,-2.25,-2.25,-15,-1,-12,-16,-16,averse,1,All
10.125,10.125,10.125,10.125,10.125,10.125,-0.05,-0.05,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,A,0.0,1.0,1,0,02-16,"The information had no use to me, as there was no way of telling or even predicting if it was truth or a lie (since we didn't know the composition of the bag with the chips). As such, I considered it useless information and did not take it into consideration, it did not affect my answer.",18,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,0,0,0,-1,-1,neutral,1,All
11.875,10.875,10.875,8.875,11.875,7.875,-0.05,-0.05,25,21,21,13,25,9,18,18,0,0,0,0,0,0,0,0,0,A,0.0,1.0,0,0,02-19,I ignored the information since i felt it had equal chance of being right or wrong,16,1.875,3.0,2.0,1.0,3.0,-3.0,0.0,0.1839080459770115,0.08421052631578947,0.25263157894736843,-1.0,3.0,-0.05,-0.05,-12,-4,12,-1,-1,averse,1,All
9.875,7.875,10.125,7.875,9.875,1.5,-0.05,-0.05,17,9,18,9,17,1,18,18,0,0,0,0,0,0,0,0,0,A,0.0,0.0,1,0,02-19,I didn't always rely on that information because it could have been equally likely to be a lie so it didn't really affect my answer,10,-0.125,2.0,0.0,2.0,2.0,-2.0,0.0,0.0,0.20253164556962025,0.20253164556962025,-2.0,2.0,-0.05,-0.05,-8,-8,8,-1,-1,averse,1,All
10.125,10.125,20.0,10.875,20.0,10.375,-0.05,-0.05,18,18,35,21,35,19,18,18,0,0,1,0,1,0,0,0,1,B,1.0,0.0,0,1,02-14,It was only affecting my answer when the compositions of the balls was 50:50. Not useful otherwise.,13,0.125,-0.75,-0.75,0.0,-0.75,-9.125,-9.875,-0.07407407407407407,0.0,-0.07407407407407407,0.0,9.125,-0.05,-0.05,3,0,14,-1,-1,seeking,1,All
9.125,7.125,9.125,10.125,8.125,6.25,-0.75,-1.1,14,6,14,18,10,4,11,8,0,0,0,0,0,0,0,0,1,B,1.0,0.0,0,1,02-14,"It did not affect my answers, because if I didn't know the distribution of red and green chips I could not determine the likelihood of whether the computer was lying or not.",2,-0.875,-1.0,-3.0,2.0,-1.0,2.0,1.0,-0.42105263157894735,0.2191780821917808,-0.1095890410958904,-2.0,-2.0,-0.75,-1.1,4,-8,-8,-8,-11,seeking,1,All
9.875,18.5,10.125,18.5,18.5,10.125,0.05,0.05,17,34,18,34,34,18,19,19,0,0,0,0,0,0,0,0,0,A,1.0,0.0,0,0,02-16,I just ignored the information because I had no way of knowing whether it was true or not.,13,-0.125,-8.625,0.0,-8.625,-8.625,0.0,-8.625,0.0,-0.8734177215189873,-0.8734177215189873,8.625,0.0,0.05,0.05,17,17,0,0,0,seeking,1,All
18.5,18.5,18.5,20.0,18.5,9.875,-0.05,-0.05,34,34,34,35,34,17,18,18,0,0,0,1,0,0,0,0,1,B,1.0,0.0,1,1,02-16,The information did not effect my answer at all,4,8.5,-1.5,-1.5,0.0,-1.5,1.5,0.0,-0.08108108108108109,0.0,-0.08108108108108109,0.0,-1.5,-0.05,-0.05,1,0,-1,-1,-1,neutral,1,All
